times,Units,value_mean,value_std,parameter
2021-08-02,F,73.43125,1.394684415498365,Temperature
2021-08-03,F,76.60000000000001,1.5940897552054667,Temperature
2021-08-04,F,74.72395833333333,0.6648485804278809,Temperature
2021-08-05,F,74.80083333333333,1.1167634421635988,Temperature
2021-08-06,F,76.11041666666667,0.6017773171523381,Temperature
2021-08-07,F,76.70708333333333,0.8275144523066567,Temperature
2021-08-08,F,77.49166666666667,0.644170760919098,Temperature
2021-08-09,F,77.47875,0.8156398892222944,Temperature
2021-08-10,F,78.30666666666667,0.3946472327562458,Temperature
2021-08-11,F,78.23958333333333,0.3455507724079385,Temperature
2021-08-12,F,77.44416666666666,0.4983605786167141,Temperature
2021-08-13,F,77.54791666666667,0.37340134959969046,Temperature
2021-08-14,F,77.753125,0.32774060693723783,Temperature
2021-08-15,F,76.60979166666667,0.5528677969851409,Temperature
2021-08-16,F,76.21958333333333,0.25471834366442636,Temperature
2021-08-17,F,76.14375,0.3655788258164129,Temperature
2021-08-18,F,76.38791666666667,0.15524526428339946,Temperature
2021-08-19,F,76.72541666666667,1.134724428404927,Temperature
2021-08-20,F,78.71104166666666,0.5764820917726048,Temperature
2021-08-21,F,79.463125,0.88448161385182,Temperature
2021-08-22,F,79.48729166666666,1.0018232602982624,Temperature
2021-08-23,F,80.7025,0.5188230566486189,Temperature
2021-08-24,F,80.90479166666667,0.47221909366827164,Temperature
2021-08-25,F,80.91020833333333,0.7364904105586695,Temperature
2021-08-26,F,81.296875,0.5060751366462243,Temperature
2021-08-27,F,80.97416666666666,0.5151384134470077,Temperature
2021-08-28,F,80.71166666666666,1.101998545480748,Temperature
2021-08-29,F,81.01416666666667,0.6925300107830483,Temperature
2021-08-30,F,80.68958333333333,0.6114010902221645,Temperature
2021-08-31,F,80.490625,0.32756403090241304,Temperature
2021-09-01,F,78.65525057825752,0.865280650772015,Temperature
2021-09-02,F,76.20604166666666,0.7669138845859177,Temperature
2021-09-03,F,75.57729166666667,0.39231812179307085,Temperature
2021-09-04,F,75.24708333333334,0.6588131220078732,Temperature
2021-09-05,F,74.354375,0.4264122515842778,Temperature
2021-09-06,F,73.52354166666666,0.4261314203995687,Temperature
2021-09-07,F,73.53604166666666,0.686989624527562,Temperature
2021-09-08,F,73.74208333333334,0.5581802859831817,Temperature
2021-09-09,F,73.01604166666667,0.4102281065710588,Temperature
2021-09-10,F,71.90229166666666,0.6290022090243287,Temperature
2021-09-11,F,71.66458333333334,0.4926666662312468,Temperature
2021-09-12,F,71.18708333333333,0.4125150049920695,Temperature
2021-09-13,F,71.60125000000001,0.31028517833104946,Temperature
2021-09-14,F,71.94041666666666,0.5948476168386888,Temperature
2021-09-15,F,72.50166666666667,0.2794398699660394,Temperature
2021-09-16,F,72.20854166666668,0.4696711605311839,Temperature
2021-09-17,F,72.73583333333333,0.8784900612100116,Temperature
2021-09-18,F,72.92104166666667,0.3368435056481017,Temperature
2021-09-19,F,72.34270833333333,0.4242644270429211,Temperature
2021-09-20,F,72.10604166666666,0.604615704074801,Temperature
2021-09-21,F,72.21666666666667,0.41365253170797184,Temperature
2021-09-22,F,71.67833333333333,0.32444071270693975,Temperature
2021-09-23,F,71.07791666666667,0.818685628493105,Temperature
2021-09-24,F,68.41041666666666,0.4554959747479321,Temperature
2021-09-25,F,67.68854166666667,0.40013351415563986,Temperature
2021-09-26,F,66.20791666666668,0.34392867065994165,Temperature
2021-09-27,F,66.16979166666667,0.8961077757462383,Temperature
2021-09-28,F,67.47166666666666,0.26821676245203496,Temperature
2021-09-29,F,67.37208333333334,0.5407907659248865,Temperature
2021-09-30,F,67.08104166666666,0.4934374688998337,Temperature
2021-10-01,F,66.5793354683747,0.4511322547202798,Temperature
2021-10-02,F,66.55562499999999,0.5063316127648201,Temperature
2021-10-03,F,66.80624999999999,0.1704921175572335,Temperature
2021-10-04,F,67.12166666666667,0.4065408808932808,Temperature
2021-10-05,F,67.49187500000001,0.15013870224492723,Temperature
2021-10-06,F,67.40208333333334,0.3561562861821849,Temperature
2021-10-07,F,67.43291666666667,0.3136138316331285,Temperature
2021-10-08,F,67.0925,0.34652195589629864,Temperature
2021-10-09,F,67.22270833333333,0.38222394615545346,Temperature
2021-10-10,F,66.934375,0.31820052447643055,Temperature
2021-10-11,F,66.69354166666666,0.4633293152793774,Temperature
2021-10-12,F,66.96291666666667,0.3071515711779563,Temperature
2021-10-13,F,67.330625,0.19157748991768117,Temperature
2021-10-14,F,67.34479166666667,0.5876450124455788,Temperature
2021-10-15,F,67.654375,0.17005474023154568,Temperature
2021-10-16,F,66.80541666666667,0.5158574299143723,Temperature
2021-10-17,F,63.453333333333326,0.899842690223057,Temperature
2021-10-18,F,62.54645833333333,0.3713377125190052,Temperature
2021-10-19,F,62.045833333333334,0.35558724408820636,Temperature
2021-10-20,F,61.80875,0.39839860878719446,Temperature
2021-10-21,F,62.014583333333334,0.21921450377076238,Temperature
2021-10-22,F,61.365625,0.43834850128705566,Temperature
2021-10-23,F,60.749791666666674,0.4650899886481366,Temperature
2021-10-24,F,60.131458333333335,0.35642565966657047,Temperature
2021-10-25,F,60.11375,0.2948540883899323,Temperature
2021-10-26,F,59.15833333333334,0.7444514529400209,Temperature
2021-10-27,F,58.48875,0.4114414682507052,Temperature
2021-10-28,F,59.64395833333334,0.34616219392282244,Temperature
2021-10-29,F,59.609583333333326,0.267860008640363,Temperature
2021-10-30,F,58.440416666666664,0.3671959497924408,Temperature
2021-10-31,F,57.475,0.2725518718608476,Temperature
2021-11-01,F,55.57020815986678,0.7527269580000676,Temperature
2021-11-02,F,54.04541666666667,0.5806404043136272,Temperature
2021-11-03,F,52.85041666666667,0.6520959929659487,Temperature
2021-11-04,F,53.33125,0.7324870091103592,Temperature
2021-11-05,F,49.841458333333335,5.2080097216673105,Temperature
2021-11-06,F,41.225833333333334,7.193835059127836,Temperature
2021-11-07,F,-37474.002916666665,48452.621898725854,Temperature
2021-11-08,F,-100000.0,0.0,Temperature
2021-11-09,F,,,Temperature
2021-11-10,F,,,Temperature
2021-11-11,F,,,Temperature
2021-11-12,F,,,Temperature
2021-11-13,F,,,Temperature
2021-11-14,F,,,Temperature
2021-11-15,F,,,Temperature
2021-11-16,F,,,Temperature
2021-11-17,F,,,Temperature
2021-11-18,F,,,Temperature
2021-11-19,F,,,Temperature
2021-11-20,F,,,Temperature
2021-11-21,F,,,Temperature
2021-11-22,F,,,Temperature
2021-11-23,F,,,Temperature
2021-11-24,F,,,Temperature
2021-11-25,F,,,Temperature
2021-11-26,F,,,Temperature
2021-11-27,F,,,Temperature
2021-11-28,F,,,Temperature
2021-11-29,F,,,Temperature
2021-11-30,F,,,Temperature
2021-12-01,F,,,Temperature
2021-12-02,F,,,Temperature
2021-12-03,F,,,Temperature
2021-12-04,F,,,Temperature
2021-12-05,F,,,Temperature
2021-12-06,F,,,Temperature
2021-12-07,F,,,Temperature
2021-12-08,F,,,Temperature
2021-12-09,F,,,Temperature
2021-12-10,F,,,Temperature
2021-12-11,F,,,Temperature
2021-12-12,F,,,Temperature
2021-12-13,F,,,Temperature
2021-12-14,F,,,Temperature
2021-12-15,F,,,Temperature
2021-12-16,F,,,Temperature
2021-12-17,F,,,Temperature
2021-12-18,F,,,Temperature
2021-12-19,F,,,Temperature
2021-12-20,F,,,Temperature
2021-12-21,F,,,Temperature
2021-12-22,F,,,Temperature
2021-12-23,F,,,Temperature
2021-12-24,F,,,Temperature
2021-12-25,F,,,Temperature
2021-12-26,F,,,Temperature
2021-12-27,F,,,Temperature
2021-12-28,F,,,Temperature
2021-12-29,F,,,Temperature
2021-12-30,F,,,Temperature
2021-12-31,F,,,Temperature
2022-01-01,F,,,Temperature
2022-01-02,F,,,Temperature
2022-01-03,F,,,Temperature
2022-01-04,F,,,Temperature
2022-01-05,F,,,Temperature
2022-01-06,F,,,Temperature
2022-01-07,F,,,Temperature
2022-01-08,F,,,Temperature
2022-01-09,F,,,Temperature
2022-01-10,F,,,Temperature
2022-01-11,F,,,Temperature
2022-01-12,F,,,Temperature
2022-01-13,F,,,Temperature
2022-01-14,F,,,Temperature
2022-01-15,F,,,Temperature
2022-01-16,F,,,Temperature
2022-01-17,F,,,Temperature
2022-01-18,F,,,Temperature
2022-01-19,F,,,Temperature
2022-01-20,F,,,Temperature
2022-01-21,F,,,Temperature
2022-01-22,F,,,Temperature
2022-01-23,F,,,Temperature
2022-01-24,F,,,Temperature
2022-01-25,F,,,Temperature
2022-01-26,F,,,Temperature
2022-01-27,F,,,Temperature
2022-01-28,F,,,Temperature
2022-01-29,F,,,Temperature
2022-01-30,F,,,Temperature
2022-01-31,F,,,Temperature
2022-02-01,F,,,Temperature
2022-02-02,F,,,Temperature
2022-02-03,F,,,Temperature
2022-02-04,F,,,Temperature
2022-02-05,F,,,Temperature
2022-02-06,F,,,Temperature
2022-02-07,F,,,Temperature
2022-02-08,F,,,Temperature
2022-02-09,F,,,Temperature
2022-02-10,F,,,Temperature
2022-02-11,F,,,Temperature
2022-02-12,F,,,Temperature
2022-02-13,F,,,Temperature
2022-02-14,F,,,Temperature
2022-02-15,F,,,Temperature
2022-02-16,F,,,Temperature
2022-02-17,F,,,Temperature
2022-02-18,F,,,Temperature
2022-02-19,F,,,Temperature
2022-02-20,F,,,Temperature
2022-02-21,F,,,Temperature
2022-02-22,F,,,Temperature
2022-02-23,F,,,Temperature
2022-02-24,F,,,Temperature
2022-02-25,F,,,Temperature
2022-02-26,F,,,Temperature
2022-02-27,F,,,Temperature
2022-02-28,F,,,Temperature
2022-03-01,F,,,Temperature
2022-03-02,F,,,Temperature
2022-03-03,F,,,Temperature
2022-03-04,F,,,Temperature
2022-03-05,F,,,Temperature
2022-03-06,F,,,Temperature
2022-03-07,F,,,Temperature
2022-03-08,F,,,Temperature
2022-03-09,F,,,Temperature
2022-03-10,F,,,Temperature
2022-03-11,F,,,Temperature
2022-03-12,F,,,Temperature
2022-03-13,F,,,Temperature
2022-03-14,F,,,Temperature
2022-03-15,F,,,Temperature
2022-03-16,F,,,Temperature
2022-03-17,F,,,Temperature
2022-03-18,F,,,Temperature
2022-03-19,F,,,Temperature
2022-03-20,F,,,Temperature
2022-03-21,F,,,Temperature
2022-03-22,F,,,Temperature
2022-03-23,F,,,Temperature
2022-03-24,F,,,Temperature
2022-03-25,F,,,Temperature
2022-03-26,F,,,Temperature
2022-03-27,F,,,Temperature
2022-03-28,F,,,Temperature
2022-03-29,F,,,Temperature
2022-03-30,F,,,Temperature
2022-03-31,F,,,Temperature
2022-04-01,F,,,Temperature
2022-04-02,F,,,Temperature
2022-04-03,F,,,Temperature
2022-04-04,F,,,Temperature
2022-04-05,F,,,Temperature
2022-04-06,F,,,Temperature
2022-04-07,F,,,Temperature
2022-04-08,F,,,Temperature
2022-04-09,F,,,Temperature
2022-04-10,F,,,Temperature
2022-04-11,F,,,Temperature
2022-04-12,F,,,Temperature
2022-04-13,F,,,Temperature
2022-04-14,F,,,Temperature
2022-04-15,F,,,Temperature
2022-04-16,F,,,Temperature
2022-04-17,F,,,Temperature
2022-04-18,F,,,Temperature
2022-04-19,F,,,Temperature
2022-04-20,F,,,Temperature
2022-04-21,F,,,Temperature
2022-04-22,F,,,Temperature
2022-04-23,F,,,Temperature
2022-04-24,F,,,Temperature
2022-04-25,F,,,Temperature
2022-04-26,F,,,Temperature
2022-04-27,F,,,Temperature
2022-04-28,F,,,Temperature
2022-04-29,F,,,Temperature
2022-04-30,F,,,Temperature
2022-05-01,F,,,Temperature
2022-05-02,F,,,Temperature
2022-05-03,F,,,Temperature
2022-05-04,F,,,Temperature
2022-05-05,F,-100000.0,0.0,Temperature
2022-05-06,F,-100000.0,0.0,Temperature
2022-05-07,F,,,Temperature
2022-05-08,F,,,Temperature
2022-05-09,F,56.95352941176471,1.0838497874290083,Temperature
2022-05-10,F,56.504999999999995,8.983653773728983,Temperature
2022-05-11,F,45.758541666666666,0.7422431368645362,Temperature
2022-05-12,F,45.0025,0.8460345286749364,Temperature
2022-05-13,F,45.884791666666665,1.5936231184651715,Temperature
2022-05-14,F,47.82875,1.8831022746332118,Temperature
